id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
1,"adrian corneanu, ciprian",-0.2654,-0.6112,5,3,3,1,273,1.957,2016,273,1.957
2,"ahn, yeojin amy",-0.3398,0.3006,3,5,5,1,0,0,,0,
3,"akos, utasi",-0.7457,0.7187,8,5,5,1,1,0.033,2017,1,0.033
4,"allawala, anusha b.",-0.979,-0.0434,2,15,28,3,37,8.2105,2020.3333,12.3333,2.7368
5,"avendano-ortega, michelle",-0.7569,-0.3806,2,23,23,1,5,1.6667,2021,5,1.6667
6,"baro, xavier",-0.0925,-0.5778,5,8,8,1,2,0.1154,2018,2,0.1154
7,"barrios-anderson, adriel",-0.9758,-0.2255,2,27,35,2,30,5.8772,2020,15,2.9386
8,"bernard, genevieve",1.4304,-0.1269,1,29,29,1,10,1.4286,2020,10,1.4286
9,"bhatia, shalini",-0.0505,0.3123,3,3,3,1,3,0.5053,2019,3,0.5053
10,"bijanki, kelly r.",-0.862,-0.1557,2,26,39,3,17,5.6667,2021,5.6667,1.8889
11,"bilalpur, maneesh",-0.3195,0.3388,3,5,5,1,0,0,,0,
12,"birgfeld, craig b.",-0.1671,0.4354,3,6,11,2,16,1.5874,2018.5,8,0.7937
13,"black, alan w.",0.1842,-0.1106,4,3,3,1,0,0,2019,0,0
14,"boeck, ryan",1.3274,0.0637,1,29,29,1,10,1.4286,2020,10,1.4286
15,"borton, david a.",-0.771,-0.1205,2,32,70,7,50,10.5091,2020.1429,7.1429,1.5013
16,"britton, jennifer c.",-0.33,0.5883,3,8,8,1,33,1.9038,2018,33,1.9038
17,"bylsma, lauren",0.1864,-0.2558,4,6,6,1,0,0,2021,0,0
18,"cassell, justine",-0.2927,0.5508,3,8,8,1,33,1.9038,2018,33,1.9038
19,"caterson, ian d.",0.2176,0.747,7,6,6,1,29,4.8842,2019,29,4.8842
20,"chen, meng",-0.4181,0.3464,3,4,4,1,6,2,2021,6,2
21,"chow, sy-miin",-0.4431,0.387,3,5,7,2,9,2.099,2019,4.5,1.0495
22,"chu, wen-sheng",-0.0699,0.1099,9,12,27,8,219,9.6457,2017.375,27.375,1.2057
23,"cohn, jeffrey",-0.1513,0.0537,3,142,262,50,881,49,2018.7143,17.62,0.98
24,"collins, abigail",1.2606,-0.1613,1,29,29,1,10,1.4286,2020,10,1.4286
25,"corneanu, ciprian",-0.274,-0.508,5,5,5,1,1,0.033,2017,1,0.033
26,"daniel, szolgay",-0.6947,0.6928,8,5,5,1,1,0.033,2017,1,0.033
27,"daoudi, mohamed",-0.2635,0.2045,3,3,6,2,18,1.0385,2018.5,9,0.5192
28,"darzi, ali",-0.6533,-0.1484,2,8,13,2,2,0.2857,2020.5,1,0.1429
29,"dastin-van rijn, evan m.",-0.864,-0.3522,2,23,23,1,5,1.6667,2021,5,1.6667
30,"de la torre, fernando",-0.0335,0.0584,9,8,18,6,202,7.8658,2017.1667,33.6667,1.311
31,"demarest, scott",1.4199,-0.0095,1,29,29,1,10,1.4286,2020,10,1.4286
32,"dibeklioglu, hamdi",-0.1658,0.2567,3,2,2,1,62,3.5769,2018,62,3.5769
33,"ding, wanqiao",-0.3777,-0.0773,6,3,3,1,1,0.1684,2019,1,0.1684
34,"ding, yaohan",-0.7229,-0.2397,2,24,30,2,7,1.9524,2020.5,3.5,0.9762
35,"dobbins, katherine",1.2316,-0.2111,1,29,29,1,10,1.4286,2020,10,1.4286
36,"du, wenchao",0.1561,-0.0945,4,3,3,1,0,0,2019,0,0
37,"dubbs, holly",1.3174,-0.1654,1,29,29,1,10,1.4286,2020,10,1.4286
38,"emrick, lisa",1.3835,0.0367,1,29,29,1,10,1.4286,2020,10,1.4286
39,"ertugrul, itir onal",-0.494,-0.0318,6,41,70,12,45,6.7998,2019.4545,3.75,0.5667
40,"escalante, hugo jair",-0.1269,-0.5148,5,8,8,1,2,0.1154,2018,2,0.1154
41,"escalera guerrero, sergio",-0.2041,-0.5664,5,12,16,3,276,2.1054,2017,92,0.7018
42,"fournier, jay",0.1327,-0.2305,4,6,6,1,0,0,2021,0,0
43,"frank, michael j.",-1.0592,-0.174,2,12,12,1,25,4.2105,2019,25,4.2105
44,"fraser, jamie",1.2256,-0.121,1,29,29,1,10,1.4286,2020,10,1.4286
45,"garg, manohar l.",0.2624,0.8051,7,6,6,1,29,4.8842,2019,29,4.8842
46,"gelin, luiz fernando fracassi",-0.7857,-0.2663,2,23,23,1,5,1.6667,2021,5,1.6667
47,"george, jacob",0.1912,0.7846,7,6,6,1,29,4.8842,2019,29,4.8842
48,"girard, jeffrey m.",0.0226,-0.2169,4,19,28,5,85,4.024,2018.6,17,0.8048
49,"goecke, roland",-0.0702,0.286,3,3,3,1,3,0.5053,2019,3,0.5053
50,"goodman, wayne k.",-0.8129,-0.0767,2,32,73,8,59,11.7948,2020.125,7.375,1.4743
51,"gutierrez, anibal",-0.3726,0.515,3,8,8,1,33,1.9038,2018,33,1.9038
52,"guyon, isabelle",-0.0831,-0.5315,5,8,8,1,2,0.1154,2018,2,0.1154
53,"hammal, zakia",-0.2379,0.3158,3,27,48,11,157,12.7286,2018.6364,14.2727,1.1571
54,"harrison, matthew t.",-0.7379,-0.3143,2,23,23,1,5,1.6667,2021,5,1.6667
55,"hayward, jean",1.2605,-0.0752,1,29,29,1,10,1.4286,2020,10,1.4286
56,"heike, carrie l.",-0.1327,0.387,3,7,15,3,24,1.8515,2018,8,0.6172
57,"helman, guy",1.441,-0.0647,1,29,29,1,10,1.4286,2020,10,1.4286
58,"istvan, petras",-0.752,0.6836,8,5,5,1,1,0.033,2017,1,0.033
59,"jeni, laszlo a.",-0.4024,-0.2252,6,48,93,17,180,11.3914,2018.8824,10.5882,0.6701
60,"ji, qiang",-0.2237,-0.177,4,5,5,1,0,0,2019,0,0
61,"jiang, dongmei",-0.3844,0.1358,6,5,5,1,2,0.3368,2019,2,0.3368
62,"johnson, nathan a.",0.2195,0.8206,7,6,6,1,29,4.8842,2019,29,4.8842
63,"kacem, anis",-0.2276,0.1862,3,3,6,2,18,1.0385,2018.5,9,0.5192
64,"kanade, takeo",-0.1904,-0.5081,5,11,15,3,51,1.7325,2017.3333,17,0.5775
65,"karmarkar, swati",1.1489,-0.0597,1,29,29,1,10,1.4286,2020,10,1.4286
66,"keller, stephanie",1.2915,-0.2215,1,29,29,1,10,1.4286,2020,10,1.4286
67,"kotsia, irene",0.4156,0.2112,10,4,4,1,2,0.3368,2019,2,0.3368
68,"liu, zhun",0.0391,-0.1522,4,5,5,1,0,0,2019,0,0
69,"malone, donald",-0.6374,0.0018,6,6,6,1,6,0.3462,2018,6,0.3462
70,"martin, katherine b.",-0.3184,0.505,3,8,8,1,33,1.9038,2018,33,1.9038
71,"masser-frye, diane",1.2664,0.0672,1,29,29,1,10,1.4286,2020,10,1.4286
72,"mathura, raissa k.",-0.8492,-0.2471,2,23,23,1,5,1.6667,2021,5,1.6667
