Source,Target,Strength
1,23,1
1,41,1
1,86,1
2,11,1
2,23,1
2,39,1
2,76,1
2,114,1
3,23,1
3,26,1
3,58,1
3,87,1
3,117,1
4,7,1
4,10,2
4,15,3
4,23,3
4,43,1
4,50,3
4,73,1
4,74,1
4,75,1
4,97,2
4,98,1
4,111,3
4,115,1
4,126,3
4,138,2
5,7,1
5,10,1
5,15,1
5,23,1
5,29,1
5,34,1
5,39,1
5,46,1
5,50,1
5,54,1
5,59,1
5,72,1
5,73,1
5,94,1
5,98,1
5,99,1
5,111,1
5,115,1
5,126,1
5,127,1
5,130,1
5,132,1
5,134,1
6,23,1
6,40,1
6,41,1
6,52,1
6,64,1
6,90,1
6,120,1
6,122,1
7,10,1
7,15,2
7,23,2
7,29,1
7,34,1
7,39,1
7,43,1
7,46,1
7,50,2
7,54,1
7,59,1
7,72,1
7,73,2
7,74,1
7,75,1
7,94,1
7,98,2
7,99,1
7,111,2
7,115,2
7,126,2
7,127,1
7,130,1
7,132,1
7,134,1
8,14,1
8,23,1
8,24,1
8,31,1
8,35,1
8,37,1
8,38,1
8,44,1
8,55,1
8,57,1
8,65,1
8,66,1
8,71,1
8,77,1
8,78,1
8,93,1
8,96,1
8,104,1
8,109,1
8,110,1
8,112,1
8,113,1
8,118,1
8,123,1
8,124,1
8,125,1
8,129,1
8,131,1
8,143,1
9,23,1
9,49,1
9,53,1
10,15,3
10,23,3
10,29,1
10,34,1
10,39,1
10,46,1
10,50,3
10,54,1
10,59,1
10,72,1
10,73,1
10,94,1
10,97,2
10,98,1
10,99,1
10,111,3
10,115,1
10,126,3
10,127,1
10,130,1
10,132,1
10,134,1
10,138,2
11,23,1
11,39,1
11,76,1
11,114,1
12,23,2
12,53,2
12,56,2
12,88,1
12,114,2
12,128,2
13,23,1
13,36,1
13,79,1
14,23,1
14,24,1
14,31,1
14,35,1
14,37,1
14,38,1
14,44,1
14,55,1
14,57,1
14,65,1
14,66,1
14,71,1
14,77,1
14,78,1
14,93,1
14,96,1
14,104,1
14,109,1
14,110,1
14,112,1
14,113,1
14,118,1
14,123,1
14,124,1
14,125,1
14,129,1
14,131,1
14,143,1
15,23,7
15,28,2
15,29,1
15,34,2
15,39,3
15,43,1
15,46,1
15,50,7
15,54,1
15,59,4
15,69,1
15,72,1
15,73,2
15,74,1
15,75,1
15,85,1
15,94,1
15,97,2
15,98,4
15,99,1
15,111,5
15,115,2
15,126,4
15,127,1
15,130,1
15,132,1
15,134,1
15,138,2
16,18,1
16,23,1
16,51,1
16,53,1
16,70,1
16,76,1
16,84,1
16,100,1
17,23,1
17,42,1
17,48,1
17,79,1
17,116,1
17,121,1
18,23,1
18,51,1
18,53,1
18,70,1
18,76,1
18,84,1
18,100,1
19,23,1
19,45,1
19,47,1
19,62,1
19,83,1
19,91,1
20,21,1
20,23,1
20,53,1
20,76,1
21,23,2
21,53,1
21,76,2
21,89,1
22,23,8
22,30,6
22,39,1
22,48,2
22,53,2
22,56,1
22,59,2
22,76,1
22,103,1
22,114,1
22,133,1
22,140,1
23,24,1
23,25,1
23,26,1
23,27,2
23,28,2
23,29,1
23,30,6
23,31,1
23,32,1
23,33,1
23,34,2
23,35,1
23,36,1
23,37,1
23,38,1
23,39,12
23,40,1
23,41,3
23,42,1
23,43,1
23,44,1
23,45,1
23,46,1
23,47,1
23,48,5
23,49,1
23,50,8
23,51,1
23,52,1
23,53,11
23,54,1
23,55,1
23,56,3
23,57,1
23,58,1
23,59,17
23,60,1
23,61,1
23,62,1
23,63,2
23,64,3
23,65,1
23,66,1
23,67,1
23,68,1
23,69,1
23,70,1
23,71,1
23,72,1
23,73,2
23,74,1
23,75,1
23,76,5
23,77,1
23,78,1
23,79,3
23,80,1
23,81,1
23,82,2
23,83,1
23,84,1
23,85,1
23,86,2
23,87,1
23,88,1
23,89,1
23,90,3
23,91,1
23,92,1
23,93,1
23,94,1
23,95,1
23,96,1
23,97,2
23,98,4
23,99,1
23,100,1
23,101,1
23,102,1
23,103,1
23,104,1
23,105,1
23,106,1
23,107,1
23,108,1
23,109,1
23,110,1
23,111,6
23,112,1
23,113,1
23,114,4
23,115,3
23,116,1
23,117,1
23,118,1
23,119,1
23,120,1
23,121,1
23,122,2
23,123,1
23,124,1
23,125,1
23,126,4
23,127,1
23,128,2
23,129,1
23,130,1
23,131,1
23,132,1
23,133,1
23,134,1
23,135,1
23,136,2
23,137,4
23,138,2
23,139,1
23,140,1
23,141,3
23,142,1
23,143,1
24,31,1
24,35,1
24,37,1
24,38,1
24,44,1
24,55,1
24,57,1
24,65,1
24,66,1
24,71,1
24,77,1
24,78,1
24,93,1
24,96,1
24,104,1
24,109,1
24,110,1
24,112,1
24,113,1
24,118,1
24,123,1
24,124,1
24,125,1
24,129,1
24,131,1
24,143,1
25,41,1
25,59,1
25,64,1
25,86,1
26,58,1
26,87,1
26,117,1
27,53,2
27,63,2
28,34,1
28,39,1
28,50,2
28,59,2
28,98,2
28,111,1
29,34,1
29,39,1
29,46,1
29,50,1
29,54,1
29,59,1
29,72,1
29,73,1
29,94,1
29,98,1
29,99,1
29,111,1
29,115,1
29,126,1
29,127,1
29,130,1
29,132,1
29,134,1
30,48,1
30,59,1
30,76,1
30,103,1
30,133,1
30,140,1
31,35,1
31,37,1
31,38,1
31,44,1
31,55,1
31,57,1
31,65,1
31,66,1
31,71,1
31,77,1
31,78,1
31,93,1
31,96,1
31,104,1
31,109,1
31,110,1
31,112,1
31,113,1
31,118,1
31,123,1
31,124,1
31,125,1
31,129,1
31,131,1
31,143,1
32,53,1
33,39,1
33,59,1
34,39,2
34,46,1
34,50,2
34,54,1
34,59,2
34,72,1
34,73,1
34,94,1
34,98,2
34,99,1
34,111,1
34,115,1
34,126,1
34,127,1
34,130,1
34,132,1
34,134,1
35,37,1
35,38,1
35,44,1
35,55,1
35,57,1
35,65,1
35,66,1
35,71,1
35,77,1
35,78,1
35,93,1
35,96,1
35,104,1
35,109,1
35,110,1
35,112,1
35,113,1
35,118,1
35,123,1
35,124,1
35,125,1
35,129,1
35,131,1
35,143,1
36,79,1
37,38,1
37,44,1
37,55,1
37,57,1
37,65,1
37,66,1
37,71,1
37,77,1
37,78,1
37,93,1
37,96,1
37,104,1
37,109,1
37,110,1
37,112,1
37,113,1
37,118,1
37,123,1
37,124,1
37,125,1
37,129,1
37,131,1
37,143,1
38,44,1
38,55,1
38,57,1
38,65,1
38,66,1
38,71,1
38,77,1
38,78,1
38,93,1
38,96,1
38,104,1
38,109,1
38,110,1
38,112,1
38,113,1
38,118,1
38,123,1
38,124,1
38,125,1
38,129,1
38,131,1
38,143,1
39,46,1
