Source,Target,Value
EVELYN,E1,1.0
EVELYN,E2,1.0
EVELYN,E3,1.0
EVELYN,E4,1.0
EVELYN,E5,1.0
EVELYN,E6,1.0
EVELYN,E8,1.0
EVELYN,E9,1.0
LAURA,E1,1.0
LAURA,E2,1.0
LAURA,E3,1.0
LAURA,E5,1.0
LAURA,E6,1.0
LAURA,E7,1.0
LAURA,E8,1.0
THERESA,E2,1.0
THERESA,E3,1.0
THERESA,E4,1.0
THERESA,E5,1.0
THERESA,E6,1.0
THERESA,E7,1.0
THERESA,E8,1.0
THERESA,E9,1.0
BRENDA,E1,1.0
BRENDA,E3,1.0
BRENDA,E4,1.0
BRENDA,E5,1.0
BRENDA,E6,1.0
BRENDA,E7,1.0
BRENDA,E8,1.0
CHARLOTTE,E3,1.0
CHARLOTTE,E4,1.0
CHARLOTTE,E5,1.0
CHARLOTTE,E7,1.0
FRANCES,E3,1.0
FRANCES,E5,1.0
FRANCES,E6,1.0
FRANCES,E8,1.0
ELEANOR,E5,1.0
ELEANOR,E6,1.0
ELEANOR,E7,1.0
ELEANOR,E8,1.0
PEARL,E6,1.0
PEARL,E8,1.0
PEARL,E9,1.0
RUTH,E5,1.0
RUTH,E7,1.0
RUTH,E8,1.0
RUTH,E9,1.0
VERNE,E7,1.0
VERNE,E8,1.0
VERNE,E9,1.0
VERNE,E12,1.0
MYRNA,E8,1.0
MYRNA,E9,1.0
MYRNA,E10,1.0
MYRNA,E12,1.0
KATHERINE,E8,1.0
KATHERINE,E9,1.0
KATHERINE,E10,1.0
KATHERINE,E12,1.0
KATHERINE,E13,1.0
KATHERINE,E14,1.0
SYLVIA,E7,1.0
SYLVIA,E8,1.0
SYLVIA,E9,1.0
SYLVIA,E10,1.0
SYLVIA,E12,1.0
SYLVIA,E13,1.0
SYLVIA,E14,1.0
NORA,E6,1.0
NORA,E7,1.0
NORA,E9,1.0
NORA,E10,1.0
NORA,E11,1.0
NORA,E12,1.0
NORA,E13,1.0
NORA,E14,1.0
HELEN,E7,1.0
HELEN,E8,1.0
HELEN,E10,1.0
HELEN,E11,1.0
HELEN,E12,1.0
DOROTHY,E8,1.0
DOROTHY,E9,1.0
OLIVIA,E9,1.0
OLIVIA,E11,1.0
FLORA,E9,1.0
FLORA,E11,1.0
