Source,Target,Weight
E1,E1,3
E1,E2,2
E1,E3,3
E1,E4,2
E1,E5,3
E1,E6,3
E1,E8,3
E1,E9,1
E1,E7,2
E1,E12,0
E1,E10,0
E1,E13,0
E1,E14,0
E1,E11,0
E2,E1,2
E2,E2,3
E2,E3,3
E2,E4,2
E2,E5,3
E2,E6,3
E2,E8,3
E2,E9,2
E2,E7,2
E2,E12,0
E2,E10,0
E2,E13,0
E2,E14,0
E2,E11,0
E3,E1,3
E3,E2,3
E3,E3,6
E3,E4,4
E3,E5,6
E3,E6,5
E3,E8,5
E3,E9,2
E3,E7,4
E3,E12,0
E3,E10,0
E3,E13,0
E3,E14,0
E3,E11,0
E4,E1,2
E4,E2,2
E4,E3,4
E4,E4,4
E4,E5,4
E4,E6,3
E4,E8,3
E4,E9,2
E4,E7,3
E4,E12,0
E4,E10,0
E4,E13,0
E4,E14,0
E4,E11,0
E5,E1,3
E5,E2,3
E5,E3,6
E5,E4,4
E5,E5,8
E5,E6,6
E5,E8,7
E5,E9,3
E5,E7,6
E5,E12,0
E5,E10,0
E5,E13,0
E5,E14,0
E5,E11,0
E6,E1,3
E6,E2,3
E6,E3,5
E6,E4,3
E6,E5,6
E6,E6,8
E6,E8,7
E6,E9,4
E6,E7,5
E6,E12,1
E6,E10,1
E6,E13,1
E6,E14,1
E6,E11,1
E8,E1,3
E8,E2,3
E8,E3,5
E8,E4,3
E8,E5,7
E8,E6,7
E8,E8,14
E8,E9,9
E8,E7,8
E8,E12,5
E8,E10,4
E8,E13,2
E8,E14,2
E8,E11,1
E9,E1,1
E9,E2,2
E9,E3,2
E9,E4,2
E9,E5,3
E9,E6,4
E9,E8,9
E9,E9,12
E9,E7,5
E9,E12,5
E9,E10,4
E9,E13,3
E9,E14,3
E9,E11,3
E7,E1,2
E7,E2,2
E7,E3,4
E7,E4,3
E7,E5,6
E7,E6,5
E7,E8,8
E7,E9,5
E7,E7,10
E7,E12,4
E7,E10,3
E7,E13,2
E7,E14,2
E7,E11,2
E12,E1,0
E12,E2,0
E12,E3,0
E12,E4,0
E12,E5,0
E12,E6,1
E12,E8,5
E12,E9,5
E12,E7,4
E12,E12,6
E12,E10,5
E12,E13,3
E12,E14,3
E12,E11,2
E10,E1,0
E10,E2,0
E10,E3,0
E10,E4,0
E10,E5,0
E10,E6,1
E10,E8,4
E10,E9,4
E10,E7,3
E10,E12,5
E10,E10,5
E10,E13,3
E10,E14,3
E10,E11,2
E13,E1,0
E13,E2,0
E13,E3,0
E13,E4,0
E13,E5,0
E13,E6,1
E13,E8,2
E13,E9,3
E13,E7,2
E13,E12,3
E13,E10,3
E13,E13,3
E13,E14,3
E13,E11,1
E14,E1,0
E14,E2,0
E14,E3,0
E14,E4,0
E14,E5,0
E14,E6,1
E14,E8,2
E14,E9,3
E14,E7,2
E14,E12,3
E14,E10,3
E14,E13,3
E14,E14,3
E14,E11,1
E11,E1,0
E11,E2,0
E11,E3,0
E11,E4,0
E11,E5,0
E11,E6,1
E11,E8,1
E11,E9,3
E11,E7,2
E11,E12,2
E11,E10,2
E11,E13,1
E11,E14,1
E11,E11,4
