Source,Target,Weight
EVELYN,EVELYN,8
EVELYN,LAURA,6
EVELYN,THERESA,7
EVELYN,BRENDA,6
EVELYN,CHARLOTTE,3
EVELYN,FRANCES,4
EVELYN,ELEANOR,3
EVELYN,PEARL,3
EVELYN,RUTH,3
EVELYN,VERNE,2
EVELYN,MYRNA,2
EVELYN,KATHERINE,2
EVELYN,SYLVIA,2
EVELYN,NORA,2
EVELYN,HELEN,1
EVELYN,DOROTHY,2
EVELYN,OLIVIA,1
EVELYN,FLORA,1
LAURA,EVELYN,6
LAURA,LAURA,7
LAURA,THERESA,6
LAURA,BRENDA,6
LAURA,CHARLOTTE,3
LAURA,FRANCES,4
LAURA,ELEANOR,4
LAURA,PEARL,2
LAURA,RUTH,3
LAURA,VERNE,2
LAURA,MYRNA,1
LAURA,KATHERINE,1
LAURA,SYLVIA,2
LAURA,NORA,2
LAURA,HELEN,2
LAURA,DOROTHY,1
LAURA,OLIVIA,0
LAURA,FLORA,0
THERESA,EVELYN,7
THERESA,LAURA,6
THERESA,THERESA,8
THERESA,BRENDA,6
THERESA,CHARLOTTE,4
THERESA,FRANCES,4
THERESA,ELEANOR,4
THERESA,PEARL,3
THERESA,RUTH,4
THERESA,VERNE,3
THERESA,MYRNA,2
THERESA,KATHERINE,2
THERESA,SYLVIA,3
THERESA,NORA,3
THERESA,HELEN,2
THERESA,DOROTHY,2
THERESA,OLIVIA,1
THERESA,FLORA,1
BRENDA,EVELYN,6
BRENDA,LAURA,6
BRENDA,THERESA,6
BRENDA,BRENDA,7
BRENDA,CHARLOTTE,4
BRENDA,FRANCES,4
BRENDA,ELEANOR,4
BRENDA,PEARL,2
BRENDA,RUTH,3
BRENDA,VERNE,2
BRENDA,MYRNA,1
BRENDA,KATHERINE,1
BRENDA,SYLVIA,2
BRENDA,NORA,2
BRENDA,HELEN,2
BRENDA,DOROTHY,1
BRENDA,OLIVIA,0
BRENDA,FLORA,0
CHARLOTTE,EVELYN,3
CHARLOTTE,LAURA,3
CHARLOTTE,THERESA,4
CHARLOTTE,BRENDA,4
CHARLOTTE,CHARLOTTE,4
CHARLOTTE,FRANCES,2
CHARLOTTE,ELEANOR,2
CHARLOTTE,PEARL,0
CHARLOTTE,RUTH,2
CHARLOTTE,VERNE,1
CHARLOTTE,MYRNA,0
CHARLOTTE,KATHERINE,0
CHARLOTTE,SYLVIA,1
CHARLOTTE,NORA,1
CHARLOTTE,HELEN,1
CHARLOTTE,DOROTHY,0
CHARLOTTE,OLIVIA,0
CHARLOTTE,FLORA,0
FRANCES,EVELYN,4
FRANCES,LAURA,4
FRANCES,THERESA,4
FRANCES,BRENDA,4
FRANCES,CHARLOTTE,2
FRANCES,FRANCES,4
FRANCES,ELEANOR,3
FRANCES,PEARL,2
FRANCES,RUTH,2
FRANCES,VERNE,1
FRANCES,MYRNA,1
FRANCES,KATHERINE,1
FRANCES,SYLVIA,1
FRANCES,NORA,1
FRANCES,HELEN,1
FRANCES,DOROTHY,1
FRANCES,OLIVIA,0
FRANCES,FLORA,0
ELEANOR,EVELYN,3
ELEANOR,LAURA,4
ELEANOR,THERESA,4
ELEANOR,BRENDA,4
ELEANOR,CHARLOTTE,2
ELEANOR,FRANCES,3
ELEANOR,ELEANOR,4
ELEANOR,PEARL,2
ELEANOR,RUTH,3
ELEANOR,VERNE,2
ELEANOR,MYRNA,1
ELEANOR,KATHERINE,1
ELEANOR,SYLVIA,2
ELEANOR,NORA,2
ELEANOR,HELEN,2
ELEANOR,DOROTHY,1
ELEANOR,OLIVIA,0
ELEANOR,FLORA,0
PEARL,EVELYN,3
PEARL,LAURA,2
PEARL,THERESA,3
PEARL,BRENDA,2
PEARL,CHARLOTTE,0
PEARL,FRANCES,2
PEARL,ELEANOR,2
PEARL,PEARL,3
PEARL,RUTH,2
PEARL,VERNE,2
PEARL,MYRNA,2
PEARL,KATHERINE,2
PEARL,SYLVIA,2
PEARL,NORA,2
PEARL,HELEN,1
PEARL,DOROTHY,2
PEARL,OLIVIA,1
PEARL,FLORA,1
RUTH,EVELYN,3
RUTH,LAURA,3
RUTH,THERESA,4
RUTH,BRENDA,3
RUTH,CHARLOTTE,2
RUTH,FRANCES,2
RUTH,ELEANOR,3
RUTH,PEARL,2
RUTH,RUTH,4
RUTH,VERNE,3
RUTH,MYRNA,2
RUTH,KATHERINE,2
RUTH,SYLVIA,3
RUTH,NORA,2
RUTH,HELEN,2
RUTH,DOROTHY,2
RUTH,OLIVIA,1
RUTH,FLORA,1
VERNE,EVELYN,2
VERNE,LAURA,2
VERNE,THERESA,3
VERNE,BRENDA,2
VERNE,CHARLOTTE,1
VERNE,FRANCES,1
VERNE,ELEANOR,2
VERNE,PEARL,2
VERNE,RUTH,3
VERNE,VERNE,4
VERNE,MYRNA,3
VERNE,KATHERINE,3
VERNE,SYLVIA,4
VERNE,NORA,3
VERNE,HELEN,3
VERNE,DOROTHY,2
VERNE,OLIVIA,1
VERNE,FLORA,1
MYRNA,EVELYN,2
MYRNA,LAURA,1
MYRNA,THERESA,2
MYRNA,BRENDA,1
MYRNA,CHARLOTTE,0
MYRNA,FRANCES,1
MYRNA,ELEANOR,1
MYRNA,PEARL,2
MYRNA,RUTH,2
MYRNA,VERNE,3
MYRNA,MYRNA,4
MYRNA,KATHERINE,4
MYRNA,SYLVIA,4
MYRNA,NORA,3
MYRNA,HELEN,3
MYRNA,DOROTHY,2
MYRNA,OLIVIA,1
MYRNA,FLORA,1
KATHERINE,EVELYN,2
KATHERINE,LAURA,1
KATHERINE,THERESA,2
KATHERINE,BRENDA,1
KATHERINE,CHARLOTTE,0
KATHERINE,FRANCES,1
KATHERINE,ELEANOR,1
KATHERINE,PEARL,2
KATHERINE,RUTH,2
KATHERINE,VERNE,3
KATHERINE,MYRNA,4
KATHERINE,KATHERINE,6
KATHERINE,SYLVIA,6
KATHERINE,NORA,5
KATHERINE,HELEN,3
KATHERINE,DOROTHY,2
KATHERINE,OLIVIA,1
KATHERINE,FLORA,1
SYLVIA,EVELYN,2
SYLVIA,LAURA,2
SYLVIA,THERESA,3
SYLVIA,BRENDA,2
SYLVIA,CHARLOTTE,1
SYLVIA,FRANCES,1
SYLVIA,ELEANOR,2
SYLVIA,PEARL,2
SYLVIA,RUTH,3
SYLVIA,VERNE,4
SYLVIA,MYRNA,4
SYLVIA,KATHERINE,6
SYLVIA,SYLVIA,7
SYLVIA,NORA,6
SYLVIA,HELEN,4
SYLVIA,DOROTHY,2
SYLVIA,OLIVIA,1
SYLVIA,FLORA,1
NORA,EVELYN,2
NORA,LAURA,2
NORA,THERESA,3
NORA,BRENDA,2
NORA,CHARLOTTE,1
NORA,FRANCES,1
NORA,ELEANOR,2
NORA,PEARL,2
NORA,RUTH,2
NORA,VERNE,3
NORA,MYRNA,3
NORA,KATHERINE,5
NORA,SYLVIA,6
NORA,NORA,8
NORA,HELEN,4
NORA,DOROTHY,1
NORA,OLIVIA,2
NORA,FLORA,2
HELEN,EVELYN,1
HELEN,LAURA,2
HELEN,THERESA,2
HELEN,BRENDA,2
HELEN,CHARLOTTE,1
HELEN,FRANCES,1
HELEN,ELEANOR,2
HELEN,PEARL,1
HELEN,RUTH,2
HELEN,VERNE,3
HELEN,MYRNA,3
HELEN,KATHERINE,3
HELEN,SYLVIA,4
HELEN,NORA,4
HELEN,HELEN,5
HELEN,DOROTHY,1
HELEN,OLIVIA,1
HELEN,FLORA,1
DOROTHY,EVELYN,2
DOROTHY,LAURA,1
DOROTHY,THERESA,2
DOROTHY,BRENDA,1
DOROTHY,CHARLOTTE,0
DOROTHY,FRANCES,1
DOROTHY,ELEANOR,1
DOROTHY,PEARL,2
DOROTHY,RUTH,2
DOROTHY,VERNE,2
DOROTHY,MYRNA,2
DOROTHY,KATHERINE,2
DOROTHY,SYLVIA,2
DOROTHY,NORA,1
DOROTHY,HELEN,1
DOROTHY,DOROTHY,2
DOROTHY,OLIVIA,1
DOROTHY,FLORA,1
OLIVIA,EVELYN,1
OLIVIA,LAURA,0
OLIVIA,THERESA,1
OLIVIA,BRENDA,0
OLIVIA,CHARLOTTE,0
OLIVIA,FRANCES,0
OLIVIA,ELEANOR,0
OLIVIA,PEARL,1
OLIVIA,RUTH,1
OLIVIA,VERNE,1
OLIVIA,MYRNA,1
OLIVIA,KATHERINE,1
OLIVIA,SYLVIA,1
OLIVIA,NORA,2
OLIVIA,HELEN,1
OLIVIA,DOROTHY,1
OLIVIA,OLIVIA,2
OLIVIA,FLORA,2
FLORA,EVELYN,1
FLORA,LAURA,0
FLORA,THERESA,1
FLORA,BRENDA,0
FLORA,CHARLOTTE,0
FLORA,FRANCES,0
FLORA,ELEANOR,0
FLORA,PEARL,1
FLORA,RUTH,1
FLORA,VERNE,1
FLORA,MYRNA,1
FLORA,KATHERINE,1
FLORA,SYLVIA,1
FLORA,NORA,2
FLORA,HELEN,1
FLORA,DOROTHY,1
FLORA,OLIVIA,2
FLORA,FLORA,2
