Source,Target,Type,Weight
E1,E2,Directed,2
E1,E3,Directed,3
E1,E4,Directed,2
E1,E5,Directed,3
E1,E6,Directed,3
E1,E8,Directed,3
E1,E9,Directed,1
E1,E7,Directed,2
E2,E3,Directed,3
E2,E4,Directed,2
E2,E5,Directed,3
E2,E6,Directed,3
E2,E8,Directed,3
E2,E9,Directed,2
E2,E7,Directed,2
E3,E4,Directed,4
E3,E5,Directed,6
E3,E6,Directed,5
E3,E8,Directed,5
E3,E9,Directed,2
E3,E7,Directed,4
E4,E5,Directed,4
E4,E6,Directed,3
E4,E8,Directed,3
E4,E9,Directed,2
E4,E7,Directed,3
E5,E6,Directed,6
E5,E8,Directed,7
E5,E9,Directed,3
E5,E7,Directed,6
E6,E8,Directed,7
E6,E9,Directed,4
E6,E7,Directed,5
E6,E12,Directed,1
E6,E10,Directed,1
E6,E13,Directed,1
E6,E14,Directed,1
E6,E11,Directed,1
E8,E9,Directed,9
E8,E7,Directed,8
E8,E12,Directed,5
E8,E10,Directed,4
E8,E13,Directed,2
E8,E14,Directed,2
E8,E11,Directed,1
E9,E7,Directed,5
E9,E12,Directed,5
E9,E10,Directed,4
E9,E13,Directed,3
E9,E14,Directed,3
E9,E11,Directed,3
E7,E12,Directed,4
E7,E10,Directed,3
E7,E13,Directed,2
E7,E14,Directed,2
E7,E11,Directed,2
E12,E10,Directed,5
E12,E13,Directed,3
E12,E14,Directed,3
E12,E11,Directed,2
E10,E13,Directed,3
E10,E14,Directed,3
E10,E11,Directed,2
E13,E14,Directed,3
E13,E11,Directed,1
E14,E11,Directed,1
