Source,Target,Weight
lou0,lou0,10
lou0,gn0,9
lou0,gn1,0
lou0,lou3,0
lou0,gn2,0
lou0,lou1,0
lou0,gn3,0
lou0,lou2,0
lou0,gn4,0
lou0,gn5,0
lou0,lou4,0
gn0,lou0,9
gn0,gn0,9
gn0,gn1,0
gn0,lou3,0
gn0,gn2,0
gn0,lou1,0
gn0,gn3,0
gn0,lou2,0
gn0,gn4,0
gn0,gn5,0
gn0,lou4,0
gn1,lou0,0
gn1,gn0,0
gn1,gn1,17
gn1,lou3,17
gn1,gn2,0
gn1,lou1,0
gn1,gn3,0
gn1,lou2,0
gn1,gn4,0
gn1,gn5,0
gn1,lou4,0
lou3,lou0,0
lou3,gn0,0
lou3,gn1,17
lou3,lou3,28
lou3,gn2,1
lou3,lou1,0
lou3,gn3,2
lou3,lou2,0
lou3,gn4,8
lou3,gn5,0
lou3,lou4,0
gn2,lou0,0
gn2,gn0,0
gn2,gn1,0
gn2,lou3,1
gn2,gn2,10
gn2,lou1,9
gn2,gn3,0
gn2,lou2,0
gn2,gn4,0
gn2,gn5,0
gn2,lou4,0
lou1,lou0,0
lou1,gn0,0
lou1,gn1,0
lou1,lou3,0
lou1,gn2,9
lou1,lou1,9
lou1,gn3,0
lou1,lou2,0
lou1,gn4,0
lou1,gn5,0
lou1,lou4,0
gn3,lou0,0
gn3,gn0,0
gn3,gn1,0
gn3,lou3,2
gn3,gn2,0
gn3,lou1,0
gn3,gn3,28
gn3,lou2,11
gn3,gn4,0
gn3,gn5,0
gn3,lou4,15
lou2,lou0,0
lou2,gn0,0
lou2,gn1,0
lou2,lou3,0
lou2,gn2,0
lou2,lou1,0
lou2,gn3,11
lou2,lou2,13
lou2,gn4,2
lou2,gn5,0
lou2,lou4,0
gn4,lou0,0
gn4,gn0,0
gn4,gn1,0
gn4,lou3,8
gn4,gn2,0
gn4,lou1,0
gn4,gn3,0
gn4,lou2,2
gn4,gn4,10
gn4,gn5,0
gn4,lou4,0
gn5,lou0,0
gn5,gn0,0
gn5,gn1,0
gn5,lou3,0
gn5,gn2,0
gn5,lou1,0
gn5,gn3,0
gn5,lou2,0
gn5,gn4,0
gn5,gn5,2
gn5,lou4,2
lou4,lou0,0
lou4,gn0,0
lou4,gn1,0
lou4,lou3,0
lou4,gn2,0
lou4,lou1,0
lou4,gn3,15
lou4,lou2,0
lou4,gn4,0
lou4,gn5,2
lou4,lou4,17
