Source,Target,Type,Id,Label,timeset,Weight
1.0,0.0,Undirected,0,,,1
2.0,0.0,Undirected,1,,,8
3.0,0.0,Undirected,2,,,10
3.0,2.0,Undirected,3,,,6
4.0,0.0,Undirected,4,,,1
5.0,0.0,Undirected,5,,,1
6.0,0.0,Undirected,6,,,1
7.0,0.0,Undirected,7,,,1
8.0,0.0,Undirected,8,,,2
9.0,0.0,Undirected,9,,,1
11.0,0.0,Undirected,13,,,5
11.0,2.0,Undirected,12,,,3
11.0,3.0,Undirected,11,,,3
11.0,10.0,Undirected,10,,,1
12.0,11.0,Undirected,14,,,1
13.0,11.0,Undirected,15,,,1
14.0,11.0,Undirected,16,,,1
15.0,11.0,Undirected,17,,,1
17.0,16.0,Undirected,18,,,4
18.0,16.0,Undirected,19,,,4
18.0,17.0,Undirected,20,,,4
19.0,16.0,Undirected,21,,,4
19.0,17.0,Undirected,22,,,4
19.0,18.0,Undirected,23,,,4
20.0,16.0,Undirected,24,,,3
20.0,17.0,Undirected,25,,,3
20.0,18.0,Undirected,26,,,3
20.0,19.0,Undirected,27,,,4
21.0,16.0,Undirected,28,,,3
21.0,17.0,Undirected,29,,,3
21.0,18.0,Undirected,30,,,3
21.0,19.0,Undirected,31,,,3
21.0,20.0,Undirected,32,,,5
22.0,16.0,Undirected,33,,,3
22.0,17.0,Undirected,34,,,3
22.0,18.0,Undirected,35,,,3
22.0,19.0,Undirected,36,,,3
22.0,20.0,Undirected,37,,,4
22.0,21.0,Undirected,38,,,4
23.0,11.0,Undirected,47,,,9
23.0,12.0,Undirected,46,,,2
23.0,16.0,Undirected,39,,,3
23.0,17.0,Undirected,40,,,3
23.0,18.0,Undirected,41,,,3
23.0,19.0,Undirected,42,,,3
23.0,20.0,Undirected,43,,,4
23.0,21.0,Undirected,44,,,4
23.0,22.0,Undirected,45,,,4
24.0,11.0,Undirected,49,,,7
24.0,23.0,Undirected,48,,,2
25.0,11.0,Undirected,52,,,12
25.0,23.0,Undirected,51,,,1
25.0,24.0,Undirected,50,,,13
26.0,11.0,Undirected,54,,,31
26.0,16.0,Undirected,55,,,1
26.0,24.0,Undirected,53,,,4
26.0,25.0,Undirected,56,,,1
27.0,11.0,Undirected,57,,,17
27.0,23.0,Undirected,58,,,5
27.0,24.0,Undirected,60,,,1
27.0,25.0,Undirected,59,,,5
27.0,26.0,Undirected,61,,,1
28.0,11.0,Undirected,62,,,8
28.0,27.0,Undirected,63,,,1
29.0,11.0,Undirected,66,,,2
29.0,23.0,Undirected,64,,,1
29.0,27.0,Undirected,65,,,1
30.0,23.0,Undirected,67,,,1
31.0,11.0,Undirected,69,,,3
31.0,23.0,Undirected,70,,,2
31.0,27.0,Undirected,71,,,1
31.0,30.0,Undirected,68,,,2
32.0,11.0,Undirected,72,,,1
33.0,11.0,Undirected,73,,,2
33.0,27.0,Undirected,74,,,1
34.0,11.0,Undirected,75,,,3
34.0,29.0,Undirected,76,,,2
35.0,11.0,Undirected,77,,,3
35.0,29.0,Undirected,79,,,2
35.0,34.0,Undirected,78,,,3
36.0,11.0,Undirected,82,,,2
36.0,29.0,Undirected,83,,,1
36.0,34.0,Undirected,80,,,2
36.0,35.0,Undirected,81,,,2
37.0,11.0,Undirected,87,,,2
37.0,29.0,Undirected,88,,,1
37.0,34.0,Undirected,84,,,2
37.0,35.0,Undirected,85,,,2
37.0,36.0,Undirected,86,,,2
38.0,11.0,Undirected,93,,,2
38.0,29.0,Undirected,94,,,1
38.0,34.0,Undirected,89,,,2
38.0,35.0,Undirected,90,,,2
38.0,36.0,Undirected,91,,,2
38.0,37.0,Undirected,92,,,2
39.0,25.0,Undirected,95,,,1
40.0,25.0,Undirected,96,,,1
41.0,24.0,Undirected,97,,,2
41.0,25.0,Undirected,98,,,3
42.0,24.0,Undirected,101,,,1
42.0,25.0,Undirected,100,,,2
42.0,41.0,Undirected,99,,,2
43.0,11.0,Undirected,102,,,3
43.0,26.0,Undirected,103,,,1
43.0,27.0,Undirected,104,,,1
44.0,11.0,Undirected,106,,,1
44.0,28.0,Undirected,105,,,3
45.0,28.0,Undirected,107,,,2
47.0,46.0,Undirected,108,,,1
48.0,11.0,Undirected,112,,,1
48.0,25.0,Undirected,110,,,1
48.0,27.0,Undirected,111,,,1
48.0,47.0,Undirected,109,,,2
49.0,11.0,Undirected,114,,,2
