Id,Label,timeset,Degree,cluster,Visible Label
0.0,0.0,,10,0,Myriel
1.0,1.0,,1,0,Napoleon
2.0,2.0,,3,0,MlleBaptistine
3.0,3.0,,3,0,MmeMagloire
4.0,4.0,,1,0,CountessDeLo
5.0,5.0,,1,0,Geborand
6.0,6.0,,1,0,Champtercier
7.0,7.0,,1,0,Cravatte
8.0,8.0,,1,0,Count
9.0,9.0,,1,0,OldMan
10.0,10.0,,1,4,Labarre
11.0,11.0,,36,4,Valjean
12.0,12.0,,2,1,Marguerite
13.0,13.0,,1,4,MmeDeR
14.0,14.0,,1,4,Isabeau
15.0,15.0,,1,4,Gervais
16.0,16.0,,9,1,Tholomyes
17.0,17.0,,7,1,Listolier
18.0,18.0,,7,1,Fameuil
19.0,19.0,,7,1,Blacheville
20.0,20.0,,7,1,Favourite
21.0,21.0,,7,1,Dahlia
22.0,22.0,,7,1,Zephine
23.0,23.0,,15,1,Fantine
24.0,24.0,,11,2,MmeThenardier
25.0,25.0,,16,2,Thenardier
26.0,26.0,,11,4,Cosette
27.0,27.0,,17,4,Javert
28.0,28.0,,4,4,Fauchelevent
29.0,29.0,,8,3,Bamatabois
30.0,30.0,,2,4,Perpetue
31.0,31.0,,4,4,Simplice
32.0,32.0,,1,4,Scaufflaire
33.0,33.0,,2,4,Woman1
34.0,34.0,,6,3,Judge
35.0,35.0,,6,3,Champmathieu
36.0,36.0,,6,3,Brevet
37.0,37.0,,6,3,Chenildieu
38.0,38.0,,6,3,Cochepaille
39.0,39.0,,3,4,Pontmercy
40.0,40.0,,1,2,Boulatruelle
41.0,41.0,,11,2,Eponine
42.0,42.0,,3,2,Anzelma
43.0,43.0,,3,4,Woman2
44.0,44.0,,2,4,MotherInnocent
45.0,45.0,,1,4,Gribier
46.0,46.0,,1,5,Jondrette
47.0,47.0,,2,5,MmeBurgon
48.0,48.0,,22,5,Gavroche
49.0,49.0,,7,4,Gillenormand
50.0,50.0,,2,4,Magnon
51.0,51.0,,7,4,MlleGillenormand
52.0,52.0,,2,4,MmePontmercy
53.0,53.0,,1,4,MlleVaubois
54.0,54.0,,4,4,LtGillenormand
55.0,55.0,,19,4,Marius
56.0,56.0,,2,4,BaronessT
57.0,57.0,,11,5,Mabeuf
58.0,58.0,,15,5,Enjolras
59.0,59.0,,11,5,Combeferre
60.0,60.0,,9,5,Prouvaire
61.0,61.0,,11,5,Feuilly
62.0,62.0,,13,5,Courfeyrac
63.0,63.0,,12,5,Bahorel
64.0,64.0,,13,5,Bossuet
65.0,65.0,,12,5,Joly
66.0,66.0,,10,5,Grantaire
67.0,67.0,,1,5,MotherPlutarch
68.0,68.0,,10,2,Gueulemer
69.0,69.0,,10,2,Babet
70.0,70.0,,10,2,Claquesous
71.0,71.0,,9,2,Montparnasse
72.0,72.0,,3,4,Toussaint
73.0,73.0,,2,5,Child1
74.0,74.0,,2,5,Child2
75.0,75.0,,7,2,Brujon
76.0,76.0,,7,5,MmeHucheloup
