Source,Target,Type,Id,Label,timeset,Weight
1297437077403885568,170861207,Directed,0,,,1
1297437077403885568,29458079,Directed,3,,,1
1297437077403885568,818876014390603776,Directed,6,,,1
17685258,21536398,Directed,11,,,1
1297609266623217664,47786101,Directed,40,,,1
1297609266623217664,18166778,Directed,42,,,1
1297609266623217664,25073877,Directed,43,,,1
1297609266623217664,523248016,Directed,46,,,1
207809313,18839785,Directed,50,,,1
207809313,1447949844,Directed,51,,,1
24212655,36218435,Directed,61,,,1
849880970,25101996,Directed,73,,,1
764941707133812736,57097104,Directed,114,,,1
90868268,50769180,Directed,118,,,1
90868268,26487169,Directed,122,,,1
90868268,39344374,Directed,123,,,1
90868268,29458079,Directed,124,,,1
90868268,259379883,Directed,125,,,1
90868268,1367531,Directed,126,,,1
726414091,17685258,Directed,134,,,1
1280688197068972033,779898205,Directed,137,,,1
1280688197068972033,39349894,Directed,143,,,1
1280688197068972033,29458079,Directed,144,,,1
1280688197068972033,48223726,Directed,146,,,1
177673457,14499829,Directed,156,,,1
208120290,28614550,Directed,162,,,1
23527603,3995778614,Directed,232,,,1
23527603,25073877,Directed,235,,,1
237824268,125441553,Directed,237,,,1
237824268,93070840,Directed,239,,,1
237824268,345811633,Directed,240,,,1
237824268,965590040,Directed,241,,,1
237824268,39555442,Directed,242,,,1
237824268,199854295,Directed,243,,,1
237824268,25073877,Directed,244,,,1
237824268,56774483,Directed,245,,,1
237824268,1659167666,Directed,246,,,1
1150826920394788864,970207298,Directed,256,,,1
345811633,44196397,Directed,262,,,1
345811633,236699098,Directed,264,,,1
1279851861370077184,818876014390603776,Directed,267,,,1
1279851861370077184,822215679726100480,Directed,268,,,1
197881715,3004231,Directed,315,,,1
22203756,729676086632656900,Directed,327,,,1
22203756,1108472017144201216,Directed,328,,,1
22203756,842071545296084992,Directed,329,,,1
22203756,5509762,Directed,330,,,1
22203756,818928162449068032,Directed,331,,,1
22203756,39349894,Directed,332,,,1
22203756,822215673812119553,Directed,333,,,1
22203756,208120290,Directed,334,,,1
22203756,205392468,Directed,335,,,1
22203756,38495835,Directed,336,,,1
1539495661,27260086,Directed,337,,,1
1539495661,145711798,Directed,339,,,1
1539495661,29458079,Directed,341,,,1
1539495661,558797310,Directed,342,,,1
1539495661,22703645,Directed,343,,,1
1539495661,34507480,Directed,345,,,1
2965511647,5402612,Directed,349,,,1
2965511647,122658025,Directed,352,,,1
23765365,51241574,Directed,362,,,1
23765365,612473,Directed,363,,,1
1292827583416078336,890891,Directed,367,,,1
1292827583416078336,44196397,Directed,368,,,1
1292827583416078336,822215679726100480,Directed,369,,,1
1214658897325281280,1367531,Directed,387,,,1
1214658897325281280,51241574,Directed,388,,,1
1214658897325281280,742143,Directed,392,,,1
1115977467951501313,480604244,Directed,395,,,1
1115977467951501313,101532373,Directed,396,,,1
1115977467951501313,588200416,Directed,398,,,1
1115977467951501313,15254807,Directed,400,,,1
1115977467951501313,25676606,Directed,401,,,1
1115977467951501313,14108472,Directed,403,,,1
1115977467951501313,96948912,Directed,404,,,1
1945909922,15485441,Directed,409,,,1
1945909922,51241574,Directed,412,,,1
3995778614,22203756,Directed,452,,,1
1295157751841280001,38495835,Directed,475,,,1
1295157751841280001,39349894,Directed,476,,,1
1295157751841280001,29458079,Directed,479,,,1
1295157751841280001,822215679726100480,Directed,480,,,1
1295157751841280001,245963716,Directed,481,,,1
1295157751841280001,25073877,Directed,483,,,1
1287626469712121856,295833852,Directed,487,,,1
1287626469712121856,34507480,Directed,489,,,1
306642753,16664681,Directed,495,,,1
870825202678157312,20567939,Directed,519,,,1
870825202678157312,428377986,Directed,520,,,1
870825202678157312,11348282,Directed,521,,,1
56774483,3004231,Directed,527,,,1
205392468,72631996,Directed,547,,,1
205392468,16334281,Directed,552,,,1
39349894,22938914,Directed,580,,,1
48223726,18462058,Directed,585,,,1
48223726,14957318,Directed,586,,,1
48223726,145879277,Directed,587,,,1
48223726,35827739,Directed,588,,,1
48223726,24212655,Directed,589,,,1
48223726,22916785,Directed,590,,,1
48223726,1945909922,Directed,591,,,1
48223726,18560271,Directed,592,,,1
48223726,1754641,Directed,593,,,1
48223726,12550682,Directed,594,,,1
1196816405779361793,1216971385777664005,Directed,647,,,1
1297890577040773121,34430522,Directed,658,,,1
1297890577040773121,1960613304,Directed,661,,,1
1297890577040773121,384951307,Directed,662,,,1
1297890577040773121,151123001,Directed,663,,,1
1297890577040773121,835833765033291777,Directed,664,,,1
1297890577040773121,3431530511,Directed,665,,,1
1297890577040773121,2255036665,Directed,666,,,1
