Source|Target
1297437077403885568|170861207
1297437077403885568|23970102
1297437077403885568|47293791
1297437077403885568|29458079
1297437077403885568|17995040
1297437077403885568|259001548
1297437077403885568|818876014390603776
1297437077403885568|314792669
1297437077403885568|21829541
1297437077403885568|471672239
17685258|46464108
17685258|21536398
17685258|18643437
17685258|589490020
17685258|1363683074
17685258|1006482620
17685258|138648277
17685258|14344823
17685258|711188856943411200
17685258|171632862
15750898|2324715174
15750898|24030137
15750898|2336676015
15750898|192684124
15750898|789650815
15750898|2177831755
15750898|21713472
15750898|43710296
15750898|1608956600
15750898|378083197
1659167666|1628313708
1659167666|726405625
1659167666|130868956
1659167666|26652768
1659167666|329721192
1659167666|2320792662
1659167666|1116993349712588800
1659167666|396721750
1659167666|450409264
1659167666|2394930295
1297609266623217664|47786101
1297609266623217664|816683274076614656
1297609266623217664|18166778
1297609266623217664|25073877
1297609266623217664|15745368
1297609266623217664|21010214
1297609266623217664|523248016
1297609266623217664|20975060
1297609266623217664|28628850
1297609266623217664|79316376
207809313|18839785
207809313|1447949844
207809313|2990611686
24212655|22163436
24212655|22822903
24212655|18079567
24212655|95073890
24212655|23073321
24212655|15907720
24212655|46304507
24212655|70796498
24212655|36218435
24212655|16343974
1485029462|121826912
1485029462|860647388
1485029462|589318756
1485029462|1399999848
1485029462|746343537168556033
1485029462|93184629
1485029462|349913203
1485029462|2172310018
1485029462|823860
1485029462|81797031
849880970|25101996
849880970|14842061
849880970|53887085
849880970|2572862908
849880970|48425371
849880970|51220493
849880970|322029112
849880970|285399460
849880970|176348732
849880970|20823648
2463494166|25322292
2463494166|396347682
2463494166|98471035
2463494166|314585133
39555442|173838968
39555442|30164270
39555442|30565734
39555442|26069909
39555442|212630295
39555442|1215103309318696965
39555442|301796604
39555442|29576001
39555442|40607946
39555442|74375352
480604244|331617619
480604244|36745514
480604244|320603385
480604244|825147122576158721
480604244|377343292
480604244|1612192412
480604244|3092352137
480604244|91312791
480604244|23615081
480604244|395218906
764941707133812736|476848835
764941707133812736|3306686908
764941707133812736|59949396
764941707133812736|67686246
764941707133812736|5162861
764941707133812736|806344552718045184
764941707133812736|67418441
764941707133812736|57097104
764941707133812736|548078410
764941707133812736|2292804986
90868268|56561449
90868268|50769180
90868268|17995040
90868268|52544275
90868268|15513604
90868268|26487169
90868268|39344374
90868268|29458079
90868268|259379883
90868268|1367531
726414091|1009539276
726414091|440585960
726414091|3300701782
726414091|1727148654
726414091|333088304
726414091|369876329
726414091|154567275
726414091|17685258
726414091|747961900017692672
726414091|620571475
1280688197068972033|779898205
1280688197068972033|60941634
1280688197068972033|2325495378
1280688197068972033|1033695216887246849
1280688197068972033|823367015830323201
1280688197068972033|620571475
1280688197068972033|39349894
1280688197068972033|29458079
1280688197068972033|2156278138
1280688197068972033|48223726
177673457|505458119
177673457|1516711537
177673457|66935683
177673457|2938972718
177673457|17673635
177673457|2227695199
177673457|11855772
177673457|368992679
177673457|46128095
177673457|14499829
208120290|14342564
208120290|1603381488
208120290|1513753861
208120290|2227519598
208120290|17969699
208120290|28614550
208120290|80834534
208120290|36823
208120290|15368404
208120290|1603605517
14108472|980439631
14108472|484569203
14108472|821639324
14108472|72060664
14108472|432992004
14108472|2948707558
14108472|2176029246
14108472|826361619898888192
14108472|272566276
14108472|1063156034
30180137|54960992
30180137|18730233
30180137|203086196
30180137|19247844
30180137|34988284
30180137|224711631
30180137|72880490
30180137|46164460
30180137|34947001
30180137|14222518
58579942|21149655
58579942|3121763914
58579942|233842454
58579942|19415893
58579942|227373977
58579942|25225138
58579942|65502117
58579942|20083388
58579942|210868588
58579942|811986281177772032
1447949844|2179662475
1447949844|1288175774
1447949844|726018260907360257
1447949844|141540809
1447949844|361802627
1447949844|1373957012
1447949844|735095544
1447949844|177886974
1447949844|1921946424
1447949844|129704894
36196023|1896104071
36196023|1395517302
36196023|2574705726
36196023|739794210
36196023|259889722
36196023|109471418
36196023|704527982409330688
36196023|128638562
36196023|2378257850
36196023|46157036
84078498|872120892842807296
84078498|98966118
84078498|308030154
84078498|1115498341
84078498|165911032
84078498|330739418
84078498|2832619935
84078498|114873372
84078498|2440600495
84078498|979874647595511809
23527603|80082384
23527603|2449913803
23527603|21010214
23527603|837326377
23527603|232901331
23527603|3995778614
23527603|41634520
23527603|50434327
23527603|25073877
23527603|1293522249018945536
237824268|125441553
237824268|24933814
237824268|93070840
237824268|345811633
237824268|965590040
237824268|39555442
237824268|199854295
237824268|25073877
237824268|56774483
237824268|1659167666
1150826920394788864|4436066421
1150826920394788864|818910970567344128
1150826920394788864|832208008688128000
1150826920394788864|1399589509
1150826920394788864|2334193741
1150826920394788864|4284189436
1150826920394788864|38797799
1150826920394788864|813286
1150826920394788864|942156122
1150826920394788864|970207298
345811633|59103510
345811633|32959253
345811633|24929621
345811633|17525171
345811633|936292405
345811633|44196397
345811633|17284624
345811633|236699098
345811633|258620242
345811633|385258222
1279851861370077184|818876014390603776
1279851861370077184|822215679726100480
1279851861370077184|41634520
1279851861370077184|252431377
1279851861370077184|44945327
1279851861370077184|422252979
1279851861370077184|936414158471475201
1279851861370077184|1093774442264707072
1279851861370077184|823367015830323201
1279851861370077184|770781940341288960
941304403054727169|1280540750
941304403054727169|708461438256488448
941304403054727169|66825400
941304403054727169|1232089344548245505
941304403054727169|2345015147
941304403054727169|1212420831646642176
941304403054727169|1078894646670049281
941304403054727169|1142997136491126784
941304403054727169|919633952641572864
941304403054727169|940634361464082432
54885400|2216405453
54885400|24404025
54885400|69073724
54885400|241303927
54885400|23225996
54885400|41396547
54885400|22536055
54885400|60627728
54885400|39922594
54885400|1652541
3171712086|882230658554368000
3171712086|730520573701443584
3171712086|336088096
3171712086|1906974517
3171712086|1882052538
3171712086|113352671
3171712086|40400019
3171712086|2590835076
3171712086|42043572
3171712086|70355674
197881715|20851642
197881715|39196917
197881715|16812787
197881715|225109346
197881715|239201308
197881715|45555034
197881715|172338073
197881715|39550148
197881715|3004231
197881715|24621955
3268042182|85436197
3268042182|40375615
3268042182|19709386
3268042182|1133832168466198528
3268042182|701823999773384704
3268042182|314792669
3268042182|23216714
3268042182|23829152
3268042182|27692596
3268042182|23190207
22203756|729676086632656900
22203756|1108472017144201216
22203756|842071545296084992
22203756|5509762
22203756|818928162449068032
22203756|39349894
22203756|822215673812119553
22203756|208120290
22203756|205392468
22203756|38495835
1539495661|27260086
1539495661|706586787255287808
1539495661|145711798
1539495661|714044573643902976
1539495661|29458079
1539495661|558797310
1539495661|22703645
1539495661|208155240
1539495661|34507480
1539495661|2325495378
2965511647|256129678
2965511647|19929890
2965511647|5402612
2965511647|2574072036
2965511647|964875685872525313
2965511647|122658025
2965511647|56312411
2965511647|75509967
2965511647|2687516120
2965511647|56304605
23765365|424059836
23765365|1652541
23765365|23174011
23765365|16933826
23765365|16436110
23765365|51241574
23765365|612473
23765365|114889070
1292827583416078336|4795483642
1292827583416078336|2224962036
1292827583416078336|890891
1292827583416078336|44196397
1292827583416078336|822215679726100480
1292827583416078336|813286
1292827583416078336|256511691
1292827583416078336|720257453221261320
1292827583416078336|82504071
1292827583416078336|14637348
299456906|67377605
299456906|3136228002
299456906|1525367210
299456906|2877128234
299456906|492833134
299456906|824755827714228224
299456906|35347027
299456906|16232940
299456906|42741029
299456906|817105344153481220
1214658897325281280|1278408171267207168
1214658897325281280|840267310287990784
1214658897325281280|1367531
1214658897325281280|51241574
1214658897325281280|800707492346925056
1214658897325281280|919954735226073094
1214658897325281280|823367015830323201
1214658897325281280|742143
1214658897325281280|1249982359
1214658897325281280|9300262
1115977467951501313|480604244
1115977467951501313|101532373
1115977467951501313|403544693
1115977467951501313|588200416
1115977467951501313|33196091
1115977467951501313|15254807
1115977467951501313|25676606
1115977467951501313|14516324
1115977467951501313|14108472
1115977467951501313|96948912
1945909922|1548743430
1945909922|62287003
1945909922|132454471
1945909922|18220249
1945909922|15485441
1945909922|65448794
1945909922|5625972
1945909922|51241574
1945909922|17219108
1945909922|13787352
