ID|Name|Follower Count|Friends Count|Label
17461978|SHAQ|15349596|692|0
1297437077403885568|Jennifer Fishpaw|0|44|1
17685258|Brad Parscale|762839|475|0
15750898|FOX 13 Tampa Bay|327587|4801|0
1659167666|Vonte The Plug :microphone::electric_plug:|13324|647|1
34743251|SpaceX|12601567|96|0
27260086|Justin Bieber|112403156|295385|0
57097104|Matthew McConaughey|2656850|168|0
1297609266623217664|Richard Aldrich|4|66|1
207809313|BJP|14514819|3|0
24212655|Carrie Nahabedian|3756|326|0
1485029462|Wheels Up|189379|163965|0
105297123|EA SPORTS FIFA|7723523|348|0
849880970|Nile Gardiner|13120|1406|1
15764644|Nancy Pelosi|5174221|362|0
2463494166|Lynne Cheney|1468|4|0
39555442|Shawn|2829|789|1
480604244|Matteo Scolari|648|513|1
764941707133812736|Jean|49|369|1
23022687|Ted Cruz|3869942|6201|0
90868268|David Lubman|1|39|1
14230524|Lady Gaga|81823325|122006|0
726414091|Trump Charlotte|98422|120|0
236699098|Kylie Jenner|35164841|1023|0
939091|Joe Biden|8865461|28|0
1280688197068972033|trump supporter|2|46|1
177673457|Kavitha Kalvakuntla|989533|190|0
558797310|Manchester United|22772146|135|0
208120290|U.S. FDA|369322|152|0
5402612|BBC Breaking News|45042254|3|0
1134552730146500608|Fall Guys :crown:|1278734|116|0
1141136372|Jesper Parnevik|35828|6930|0
14108472|Giuseppe Civati|371354|6136|0
783214|Twitter|58285236|1|0
169686021|ye|30839878|259|0
30180137|Tommy Hilfiger|1582775|1571|0
58579942|Matt Gaetz|637388|2631|0
1447949844|Amit Shah|22458623|295|0
812362585332912128|PattyB|22176|23477|0
2353605901|Ronna McDaniel|757453|2584|0
22703645|Tucker Carlson|3810939|96|0
36196023|Jamill Rashid|629|588|1
2421067430|Tea Pain|647651|125485|1
84078498|Don Jediondo|634056|18608|0
23527603|Charley Radcliff|46|148|1
2293315159|The Obama Foundation|1030736|89|0
237824268|Taliah89|251|418|0
1150826920394788864|TP|2|235|1
19570960|Donald J. Trump ........................... ᵖᵃʳᵒᵈʸ|335003|252748|1
78523300|James Woods|2540025|5170|0
345811633|Stumbler Top|4964785|41|1
1279851861370077184|Harold|3|18|1
941304403054727169|alvaro :martial_arts_uniform:|1730436|4856|0
246500501|Geraldo Rivera|369666|929|0
247653244|Mufti Menk|6510640|1|0
1111940934|David Plouffe|265523|840|0
21536398|Gregg Jarrett|729330|111|0
54885400|U.S. Navy|1449544|1205|0
91478624|Forbes|16177929|5253|0
255388236|The Weeknd|12863312|1|0
16303106|Stephen Colbert|18903185|44|0
3171712086|Rahul Gandhi|15762008|267|0
1276374102|Marina Rose, QDNA:registered:|67059|24126|1
197881715|Nnamdi Chikezie|314|381|0
3268042182|Kreid|201|1052|1
22203756|Mike Pence|5063337|44|0
1539495661|NUMBER ONE NIGERIAN CITIZEN|338|90|1
2965511647|YS Jagan Mohan Reddy|1760514|10|0
23765365|BBC News မြန်မာ|91691|8|0
1292827583416078336|rama|0|18|1
299456906|USAFmedicVET|2452|2792|1
375721095|Breaking911|789835|0|1
30354991|Kamala Harris|5353835|736|0
1214658897325281280|William Crozer|1016|180|0
170861207|Kat Timpf|475853|560|0
1115977467951501313|Camilla Faccini|4|63|0
1945909922|Caroline Ross|152|292|0
1297520167967248384|Michael Rabbai|55|327|1
50115087|Johnson Space Center|1251765|151|0
127117223|Jesus|401527|274|0
462822954|Johnnie Smith|8|155|1
3995778614|Kambree|353568|1996|0
1960613304|Gary Medel|1717661|104|0
27860702|US AFRICOM|107028|1202|0
1295157751841280001|Pretty Pony|0|13|1
1287626469712121856|Mahendra Vaghela|1|613|0
306642753|Banglanews24.com|594565|1936|0
3138637447|Allu Arjun|5052434|1|0
1032805565796311040|Wolf|36|321|1
870825202678157312|Tuê :globe_with_meridians:|626495|97|0
56774483|SkrillaDaKillaDingo|127|264|0
18560271|Josh Kaplan|580|708|0
428377986|OFFSET|3078442|394|0
106448460|White House History|148189|1122|0
205392468|Face The Nation|496310|1396|0
843514885644271616|(SDV) Descontos & Cupons - Olha os tweets ❁|598|3639|1
24578794|Anthony Scaramucci|891029|1836|0
39349894|Eric Trump|3971621|972|0
48223726|Trump Chicago|122966|3465|0
56321478|Robin Keel|493|675|1
1226928204805328897|:white_heart: Poet :zipper-mouth_face:|984|4175|0
12550682|Katja Presnal|40461|26213|1
57289662|The Irrawaddy (Eng)|397173|1|0
807095|The New York Times|47191495|905|0
428185684|Joe mettle|69433|445|1
270109981|Michaela (Ma-Ky-La)|188|187|1
861598125772951552|Lisa Leonard James|237|865|1
1196816405779361793|WEEDZAO|44040|2|0
2510356369|Bangla Tribune|61820|1066|0
334715818|Buck Sexton|452095|1526|0
1297890577040773121|2NYCE|2|172|0
531615634|Boyacá Sie7e Días|106428|5735|1
287884272|Lisa Eadicicco|7015|510|0
26565946|Justin Timberlake|64311272|305|0
19725644|Neil deGrasse Tyson|14199792|39|0
497052651|Charles Echols|96|357|1
14499829|World Health Organization (WHO)|8234492|1724|0
1063519736607268872|Paidafac (Felipe Bandeira)|33787|71|0
1117820648716480512|Ralf Drinsinger|451|2938|1
523248016|John Solomon|713860|364|1
45828171|John T. Bennett|8635|1067|0
22841103|Insomniac Games|815884|27023|0
25127156|Global Leadership Network|67356|4876|1
18139497|Right Mothering|266|225|1
15515169|toddstarnes|139479|14507|0
21447363|KATY PERRY|108439591|221|0
