Id,Label,timeset,name,follower count,friends count,indegree,outdegree,Degree,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,clustering
17461978,0,,SHAQ,15349596,692,3,0,3,0.00109,0,0,0,0,3,0,3,0
1297437077403885568,1,,Jennifer Fishpaw,0,44,0,3,3,0.000359,3,0.483871,0.555556,0,0,3,3,0
17685258,0,,Brad Parscale,762839,475,3,1,4,0.001055,1,1,1,0.000013,3,1,4,0
1659167666,1,,Vonte The Plug :microphone::electric_plug:,13324,647,1,0,1,0.000395,0,0,0,0,1,0,1,0
34743251,0,,SpaceX,12601567,96,6,0,6,0.001144,0,0,0,0,6,0,6,0
27260086,0,,Justin Bieber,112403156,295385,4,0,4,0.001297,0,0,0,0,4,0,4,0
57097104,0,,Matthew McConaughey,2656850,168,3,0,3,0.00117,0,0,0,0,3,0,3,0
1297609266623217664,1,,Richard Aldrich,4,66,0,4,4,0.000359,5,0.318471,0.352333,0,0,4,4,0.083333
207809313,0,,BJP,14514819,3,2,2,4,0.000763,1,1,1,0.000001,2,2,4,0
24212655,0,,Carrie Nahabedian,3756,326,1,1,2,0.000458,2,0.571429,0.625,0.000005,1,1,2,0
1485029462,0,,Wheels Up,189379,163965,1,0,1,0.000556,0,0,0,0,1,0,1,0
105297123,0,,EA SPORTS FIFA,7723523,348,3,0,3,0.001214,0,0,0,0,3,0,3,0
849880970,1,,Nile Gardiner,13120,1406,0,1,1,0.000359,4,0.424242,0.470238,0,0,1,1,0
15764644,0,,Nancy Pelosi,5174221,362,8,0,8,0.001442,0,0,0,0,8,0,8,0
39555442,1,,Shawn,2829,789,1,0,1,0.000395,0,0,0,0,1,0,1,0
480604244,1,,Matteo Scolari,648,513,1,0,1,0.000405,0,0,0,0,1,0,1,0
764941707133812736,1,,Jean,49,369,0,1,1,0.000359,1,1,1,0,0,1,1,0
23022687,0,,Ted Cruz,3869942,6201,2,0,2,0.000859,0,0,0,0,2,0,2,0
90868268,1,,David Lubman,1,39,0,6,6,0.000359,3,0.526316,0.616667,0,0,6,6,0
14230524,0,,Lady Gaga,81823325,122006,5,0,5,0.001043,0,0,0,0,5,0,5,0
726414091,0,,Trump Charlotte,98422,120,1,1,2,0.000511,2,0.666667,0.75,0.000001,1,1,2,0
236699098,0,,Kylie Jenner,35164841,1023,7,0,7,0.001951,0,0,0,0,7,0,7,0
939091,0,,Joe Biden,8865461,28,9,0,9,0.001698,0,0,0,0,9,0,9,0
1280688197068972033,1,,trump supporter,2,46,0,4,4,0.000359,4,0.432099,0.492857,0,0,4,4,0
177673457,0,,Kavitha Kalvakuntla,989533,190,1,1,2,0.000521,1,1,1,0,1,1,2,0
558797310,0,,Manchester United,22772146,135,4,0,4,0.000817,0,0,0,0,4,0,4,0
208120290,0,,U.S. FDA,369322,152,2,1,3,0.000921,1,1,1,0.000014,2,1,3,0
5402612,0,,BBC Breaking News,45042254,3,9,0,9,0.002234,0,0,0,0,9,0,9,0
1141136372,0,,Jesper Parnevik,35828,6930,2,0,2,0.000723,0,0,0,0,2,0,2,0
14108472,0,,Giuseppe Civati,371354,6136,1,0,1,0.000405,0,0,0,0,1,0,1,0
783214,0,,Twitter,58285236,1,4,0,4,0.001329,0,0,0,0,4,0,4,0
169686021,0,,ye,30839878,259,3,0,3,0.000621,0,0,0,0,3,0,3,0
30180137,0,,Tommy Hilfiger,1582775,1571,1,0,1,0.000514,0,0,0,0,1,0,1,0
58579942,0,,Matt Gaetz,637388,2631,2,0,2,0.000664,0,0,0,0,2,0,2,0
1447949844,0,,Amit Shah,22458623,295,2,0,2,0.000756,0,0,0,0,2,0,2,0
812362585332912128,0,,PattyB,22176,23477,1,0,1,0.000682,0,0,0,0,1,0,1,0
2353605901,0,,Ronna McDaniel,757453,2584,1,0,1,0.000682,0,0,0,0,1,0,1,0
22703645,0,,Tucker Carlson,3810939,96,2,0,2,0.000574,0,0,0,0,2,0,2,0
84078498,0,,Don Jediondo,634056,18608,1,0,1,0.000405,0,0,0,0,1,0,1,0
23527603,1,,Charley Radcliff,46,148,0,2,2,0.000359,5,0.30625,0.328061,0,0,2,2,0
237824268,0,,Taliah89,251,418,0,9,9,0.000359,5,0.326409,0.378636,0,0,9,9,0
1150826920394788864,1,,TP,2,235,0,1,1,0.000359,1,1,1,0,0,1,1,0
19570960,1,,Donald J. Trump ........................... ᵖᵃʳᵒᵈʸ,335003,252748,1,0,1,0.00044,0,0,0,0,1,0,1,0
78523300,0,,James Woods,2540025,5170,2,0,2,0.000601,0,0,0,0,2,0,2,0
345811633,1,,Stumbler Top,4964785,41,1,2,3,0.000395,1,1,1,0.000001,1,2,3,0
1279851861370077184,1,,Harold,3,18,0,2,2,0.000359,1,1,1,0,0,2,2,0
941304403054727169,0,,alvaro :martial_arts_uniform:,1730436,4856,1,0,1,0.000395,0,0,0,0,1,0,1,0
246500501,0,,Geraldo Rivera,369666,929,1,0,1,0.000682,0,0,0,0,1,0,1,0
247653244,0,,Mufti Menk,6510640,1,5,0,5,0.001267,0,0,0,0,5,0,5,0.05
1111940934,0,,David Plouffe,265523,840,2,0,2,0.00066,0,0,0,0,2,0,2,0
21536398,0,,Gregg Jarrett,729330,111,4,0,4,0.001588,0,0,0,0,4,0,4,0
54885400,0,,U.S. Navy,1449544,1205,1,0,1,0.000644,0,0,0,0,1,0,1,0
91478624,0,,Forbes,16177929,5253,7,0,7,0.001298,0,0,0,0,7,0,7,0
255388236,0,,The Weeknd,12863312,1,2,0,2,0.000802,0,0,0,0,2,0,2,0
16303106,0,,Stephen Colbert,18903185,44,1,0,1,0.00041,0,0,0,0,1,0,1,0
3171712086,0,,Rahul Gandhi,15762008,267,1,0,1,0.00044,0,0,0,0,1,0,1,0
197881715,0,,Nnamdi Chikezie,314,381,0,1,1,0.000359,1,1,1,0,0,1,1,0
22203756,0,,Mike Pence,5063337,44,5,10,15,0.002651,2,0.638889,0.717391,0.000282,5,10,15,0.004762
1539495661,1,,NUMBER ONE NIGERIAN CITIZEN,338,90,0,6,6,0.000359,3,0.529412,0.62963,0,0,6,6,0
2965511647,0,,YS Jagan Mohan Reddy,1760514,10,0,2,2,0.000359,1,1,1,0,0,2,2,0
23765365,0,,BBC News မြန်မာ,91691,8,0,2,2,0.000359,1,1,1,0,0,2,2,0
1292827583416078336,1,,rama,0,18,0,3,3,0.000359,1,1,1,0,0,3,3,0
299456906,1,,USAFmedicVET,2452,2792,1,0,1,0.000514,0,0,0,0,1,0,1,0
30354991,0,,Kamala Harris,5353835,736,8,0,8,0.001749,0,0,0,0,8,0,8,0
1214658897325281280,0,,William Crozer,1016,180,0,3,3,0.000359,1,1,1,0,0,3,3,0
170861207,0,,Kat Timpf,475853,560,1,0,1,0.000467,0,0,0,0,1,0,1,0
