ID,followers_count,friends_count,listed_count,favourites_count
17461978,15349596 ,692 ,45568 ,142 ,0
1297437077403885568,0 ,44 ,0 ,7 ,0
17685258,762839 ,475 ,3201 ,953 ,0
15750898,327587 ,4801 ,1744 ,2946 ,0
1659167666,13324 ,647 ,44 ,729 ,0
34743251,12601567 ,96 ,26952 ,177 ,0
27260086,112403156 ,295385 ,550181 ,4532 ,0
57097104,2656850 ,168 ,5279 ,27 ,0
1297609266623217664,4 ,66 ,0 ,0 ,0
207809313,14514819 ,3 ,2861 ,0 ,0
24212655,3756 ,326 ,155 ,59 ,0
1485029462,189379 ,163965 ,286 ,2088 ,0
105297123,7723523 ,348 ,6646 ,4953 ,0
849880970,13120 ,1406 ,235 ,2224 ,0
15764644,5174221 ,362 ,19363 ,11 ,0
2463494166,1468 ,4 ,24 ,4 ,0
39555442,2829 ,789 ,31 ,382 ,0
480604244,648 ,513 ,7 ,1419 ,0
764941707133812736,49 ,369 ,0 ,10097 ,0
23022687,3869942 ,6201 ,12362 ,1396 ,0
90868268,1 ,39 ,0 ,4 ,0
14230524,81823325 ,122006 ,207749 ,2107 ,0
726414091,98422 ,120 ,296 ,4047 ,0
236699098,35164841 ,1023 ,12102 ,433 ,0
939091,8865461 ,28 ,19791 ,19 ,0
1280688197068972033,2 ,46 ,0 ,0 ,0
177673457,989533 ,190 ,187 ,6138 ,0
558797310,22772146 ,135 ,20805 ,2862 ,0
208120290,369322 ,152 ,3998 ,384 ,0
5402612,45042254 ,3 ,136231 ,0 ,0
1134552730146500608,1278734 ,116 ,606 ,1608 ,0
1141136372,35828 ,6930 ,216 ,14515 ,0
14108472,371354 ,6136 ,1815 ,2894 ,0
783214,58285236 ,1 ,86976 ,6366 ,0
169686021,30839878 ,259 ,44289 ,7 ,0
30180137,1582775 ,1571 ,3373 ,14325 ,0
58579942,637388 ,2631 ,2138 ,12311 ,0
1447949844,22458623 ,295 ,3487 ,90 ,0
812362585332912128,22176 ,23477 ,8 ,15174 ,0
2353605901,757453 ,2584 ,2748 ,7747 ,0
22703645,3810939 ,96 ,10945 ,75 ,0
36196023,629 ,588 ,16 ,589 ,0
2421067430,647651 ,125485 ,2892 ,232808 ,0
84078498,634056 ,18608 ,942 ,47106 ,0
23527603,46 ,148 ,0 ,498 ,0
2293315159,1030736 ,89 ,3145 ,601 ,0
237824268,251 ,418 ,3 ,48 ,0
1150826920394788864,2 ,235 ,0 ,7 ,0
19570960,335003 ,252748 ,847 ,1383 ,0
78523300,2540025 ,5170 ,8896 ,11475 ,0
345811633,4964785 ,41 ,6826 ,5206 ,0
1279851861370077184,3 ,18 ,0 ,0 ,0
941304403054727169,1730436 ,4856 ,121 ,33127 ,0
246500501,369666 ,929 ,2240 ,1559 ,0
247653244,6510640 ,1 ,2397 ,8 ,0
1111940934,265523 ,840 ,2872 ,221 ,0
21536398,729330 ,111 ,1913 ,24 ,0
54885400,1449544 ,1205 ,7463 ,779 ,0
91478624,16177929 ,5253 ,56946 ,10320 ,0
255388236,12863312 ,1 ,7417 ,81 ,0
16303106,18903185 ,44 ,65362 ,14 ,0
3171712086,15762008 ,267 ,3056 ,364 ,0
1276374102,67059 ,24126 ,142 ,1200 ,0
197881715,314 ,381 ,3 ,736 ,0
3268042182,201 ,1052 ,0 ,7220 ,0
22203756,5063337 ,44 ,9781 ,739 ,0
1539495661,338 ,90 ,2 ,38 ,0
2965511647,1760514 ,10 ,342 ,0 ,0
23765365,91691 ,8 ,126 ,0 ,0
1292827583416078336,0 ,18 ,0 ,1 ,0
299456906,2452 ,2792 ,67 ,5311 ,0
375721095,789835 ,0 ,5025 ,1 ,0
30354991,5353835 ,736 ,15244 ,357 ,0
1214658897325281280,1016 ,180 ,11 ,4022 ,0
170861207,475853 ,560 ,2031 ,20033 ,0
1115977467951501313,4 ,63 ,0 ,6 ,0
1945909922,152 ,292 ,8 ,215 ,0
1297520167967248384,55 ,327 ,0 ,143 ,0
50115087,1251765 ,151 ,8995 ,4910 ,0
127117223,401527 ,274 ,150 ,3720 ,0
462822954,8 ,155 ,0 ,13 ,0
3995778614,353568 ,1996 ,503 ,94514 ,0
1960613304,1717661 ,104 ,1300 ,1721 ,0
27860702,107028 ,1202 ,1544 ,904 ,0
1295157751841280001,0 ,13 ,0 ,25 ,0
1287626469712121856,1 ,613 ,0 ,27 ,0
306642753,594565 ,1936 ,258 ,52 ,0
3138637447,5052434 ,1 ,543 ,124 ,0
1032805565796311040,36 ,321 ,0 ,93 ,0
870825202678157312,626495 ,97 ,39 ,19291 ,0
56774483,127 ,264 ,0 ,23 ,0
18560271,580 ,708 ,38 ,513 ,0
428377986,3078442 ,394 ,977 ,2117 ,0
106448460,148189 ,1122 ,999 ,3986 ,0
205392468,496310 ,1396 ,2441 ,391 ,0
843514885644271616,598 ,3639 ,1 ,58907 ,0
24578794,891029 ,1836 ,3773 ,13043 ,0
39349894,3971621 ,972 ,7447 ,12326 ,0
48223726,122966 ,3465 ,860 ,4185 ,0
56321478,493 ,675 ,1 ,2692 ,0
1226928204805328897,984 ,4175 ,0 ,433 ,0
12550682,40461 ,26213 ,1540 ,3066 ,0
57289662,397173 ,1 ,890 ,12 ,0
807095,47191495 ,905 ,201097 ,18429 ,0
428185684,69433 ,445 ,37 ,20906 ,0
270109981,188 ,187 ,0 ,1863 ,0
861598125772951552,237 ,865 ,0 ,14498 ,0
1196816405779361793,44040 ,2 ,8 ,9 ,0
2510356369,61820 ,1066 ,58 ,771 ,0
334715818,452095 ,1526 ,2593 ,24892 ,0
1297890577040773121,2 ,172 ,0 ,0 ,0
531615634,106428 ,5735 ,249 ,12597 ,0
287884272,7015 ,510 ,389 ,485 ,0
26565946,64311272 ,305 ,69122 ,896 ,0
19725644,14199792 ,39 ,44890 ,3 ,0
497052651,96 ,357 ,3 ,1341 ,0
14499829,8234492 ,1724 ,31955 ,11304 ,0
1063519736607268872,33787 ,71 ,9 ,218 ,0
1117820648716480512,451 ,2938 ,1 ,27 ,0
523248016,713860 ,364 ,2165 ,21 ,0
45828171,8635 ,1067 ,407 ,4998 ,0
22841103,815884 ,27023 ,4631 ,8768 ,0
25127156,67356 ,4876 ,787 ,17605 ,0
18139497,266 ,225 ,4 ,0 ,0
15515169,139479 ,14507 ,2170 ,5307 ,0
21447363,108439591 ,221 ,130578 ,7587 ,0
34430522,4479690 ,575 ,11533 ,785 ,0
273452117,707380 ,595 ,643 ,3893 ,0
1108472017144201216,780157 ,262 ,2298 ,53 ,0
216935219,13 ,64 ,0 ,7 ,0
471741741,38225267 ,486 ,9616 ,0 ,0
50393960,51620281 ,234 ,119581 ,141 ,0
1094649075021107200,39399 ,1736 ,9 ,37418 ,0
818928162449068032,172282 ,50 ,928 ,2 ,0
422201803,2071406 ,1164 ,2105 ,3227 ,0
894527124,88 ,126 ,1 ,15348 ,0
29458079,2214815 ,481 ,5271 ,294 ,0
